,0
"(3, 0)",85.0
"(1, 5)",90.0
"(6, 2)",77.0
"(3, 6)",90.0
"(1, 7)",86.0
"(6, 4)",92.0
"(3, 4)",85.0
"(5, 5)",89.0
"(6, 6)",90.0
"(2, 7)",91.0
"(1, 1)",89.0
"(2, 1)",77.0
"(3, 2)",85.0
"(1, 3)",88.0
"(6, 0)",91.0
"(0, 1)",85.0
"(7, 3)",89.0
"(0, 7)",91.0
"(4, 0)",86.0
"(0, 5)",91.0
"(2, 4)",87.0
"(5, 7)",92.0
"(7, 7)",95.0
"(4, 4)",85.0
"(1, 6)",83.0
"(6, 5)",91.0
"(5, 4)",91.0
"(3, 5)",88.0
"(2, 0)",90.0
"(3, 3)",81.0
"(2, 2)",91.0
"(0, 0)",101.0
"(4, 1)",87.0
"(2, 5)",87.0
"(7, 6)",91.0
"(7, 4)",92.0
